,name,verified,author_id,location,username,url,followers_count,following_count,tweet_count,listed_count,url_urls,description_urls,mentions,hashtags,days_on_twitter,names_not_equal
12,DarkWeb Haber,100.0,1051902349445345280,100.0,Darkwebhaber,100.0,12.333939933358474,0.4773963219726846,8.091297040088849,19.50735658786576,82.45614035087719,0.0,0.0,0.0,30.492285084496697,100.0
25,TRT HABER,100.0,219248343,100.0,trthaber,100.0,54.669036075869,0.033210178919838934,30.77444642694002,59.00148784923128,77.77777777777779,34.0522133938706,40.56847545219638,0.0,83.4313005143277,100.0
38,Haber,0.0,2946409959,100.0,Haber,100.0,5.745426448895871,0.053966540744738264,2.441808373518311,14.597454124648701,0.0,0.0,0.0,0.0,55.95150624540779,100.0
51,A Haber,100.0,285685164,100.0,ahaber,100.0,26.066073381329254,0.12868944331437585,78.08404338106367,37.6425855513308,78.94736842105263,100.0,0.0,0.0,80.71271124173401,100.0
64,FOX HABER,100.0,281545467,100.0,FOXhaber,100.0,35.39043997856033,0.07887417493461746,5.034303533159348,39.04777649198215,75.43859649122807,34.73325766174801,0.0,0.0,80.85966201322556,100.0
77,Sözcü,100.0,218078497,100.0,gazetesozcu,100.0,46.866225592418495,0.09963053675951679,100.0,64.70490990246321,97.6608187134503,0.0,0.0,0.0,83.48640705363704,100.0
90,CNN TÜRK,100.0,61168062,100.0,cnnturk,100.0,69.85617741619659,0.033210178919838934,72.46295295468279,83.71631674656969,91.22807017543859,49.716231555051074,0.0,0.0,92.30345334313004,100.0
103,Pusholder,100.0,1212685850095452160,100.0,pusholder,100.0,29.75588100048278,0.2864377931836108,3.725562929069341,27.60786906926765,0.0,0.0,0.0,0.0,22.33651726671565,100.0
116,Kaç Saat Oldu?🌍,100.0,2844388905,100.0,kacsaatolduson,100.0,14.7795807663788,3.2255386275893563,3.9262218122700214,15.88692345842288,0.0,0.0,0.0,0.0,57.127112417340186,100.0
129,Bee Haber,100.0,1350490081560322054,100.0,beehaber,100.0,4.58388385658417,1.5691809539623895,1.6753861004923463,8.596462225161183,0.0,0.0,13.178294573643413,0.0,15.35635562086701,100.0
142,zaytung,100.0,96123433,100.0,zaytung,100.0,77.8645964344628,0.008302544729959734,1.1470467481263216,38.1385352950901,76.60818713450293,50.73779795686719,0.0,0.0,89.82365907421014,100.0
155,Vaziyet,0.0,3347392840,100.0,vaziyetcomtr,100.0,3.118574733287009,0.004151272364979867,9.09668279936203,12.001983798975036,80.11695906432749,20.6583427922815,0.0,0.0,52.6451138868479,100.0
168,dokuz8haber,100.0,2380541912,100.0,dokuz8haber,100.0,3.251935956856377,48.18381834032131,38.27917671520418,19.93717969912382,78.94736842105263,32.91713961407491,40.56847545219638,100.0,61.370315944158705,100.0
181,Karargâh,100.0,1567131911243407363,100.0,karargah_haber,100.0,0.523370618241551,0.004151272364979867,0.6062694068400133,1.587039180029757,0.0,0.0,0.0,0.0,4.371785451873622,100.0
194,İBB Haber,0.0,1176936099488436226,100.0,ibbhabercomtr,100.0,7.859599643983406,4.5331894225580145,0.6652673011875528,6.8275748057530175,0.0,0.0,0.0,0.0,24.13666421748714,100.0
207,Teşkilat Haber🇹🇷,0.0,1369058851853660162,100.0,teskilatthaber,100.0,0.14103986450287861,40.93984806343144,0.38337624256059666,0.01653165812530997,83.62573099415205,60.04540295119183,0.0,0.0,14.40117560617193,100.0
220,Son Dakika,0.0,443564982,100.0,iH_Sondakika,100.0,1.6365213814845903,100.0,7.286350022619528,2.132583898164986,83.04093567251462,16.11804767309875,0.0,0.0,76.21234386480529,100.0
233,ibrahim Haskoloğlu,100.0,2264401520,100.0,haskologlu,100.0,10.645458487363214,2.0507285483000537,2.099378430766081,29.641263018680775,100.0,16.685584562996596,0.0,0.0,62.69287288758266,100.0
246,Haber Report,100.0,1205111495027240961,100.0,HaberReport,100.0,8.39035890522502,0.11623562621943626,2.911149831536796,13.622086295255414,81.28654970760235,0.0,0.0,0.0,22.722263041880968,100.0
259,Metruk,0.0,1444262797903384578,100.0,MetrukHaber,100.0,0.17276311670109445,0.008302544729959734,0.30995908672140116,0.38022813688212925,86.54970760233918,0.0,0.0,0.0,10.598824393828068,100.0
272,KozmoPolitik.com.tr,100.0,2584497794,100.0,kozmopolitikcom,100.0,0.2737580491763365,1.7975009340362822,13.931097944209567,1.058026120019838,85.96491228070175,33.030646992054486,0.0,0.0,59.40484937545922,100.0
285,🎙 Muhbir,100.0,1488614157071097861,100.0,ajans_muhbir,100.0,1.9347023000996961,0.0,2.4547967159306423,4.9760290957183,0.0,0.0,0.0,0.0,8.33945628214548,100.0
298,Aydınlık,100.0,253702889,100.0,AydinlikGazete,100.0,3.814708468229654,0.2075636182489933,37.63603362439695,13.489833030252935,81.28654970760235,0.0,0.0,0.0,81.85157972079354,100.0
311,EHA MEDYA,0.0,808297868410912768,100.0,eha_medya,100.0,3.421572139318538,0.024907634189879197,24.400802635532802,11.208464208960159,75.43859649122807,34.39273552780931,26.614987080103358,0.0,42.836149889786924,100.0
324,Türk Post,0.0,1406857120021192704,100.0,turkpostnews,100.0,0.47756355336233064,0.049815268379758394,0.6489768378229337,0.8927095387667384,0.0,0.0,0.0,0.0,12.490815576781777,100.0
337,23 DERECE,100.0,1967668326,100.0,yirmiucderece,100.0,5.710450176400699,0.3943708746730873,3.2306850690198314,12.845098363365844,79.53216374269006,16.34506242905789,0.0,0.0,63.97869213813373,100.0
350,Haberler.com,100.0,98572880,100.0,Haberler,100.0,2.8499105608547426,0.13699198804433557,29.967408066200925,10.795172755827409,78.94736842105263,0.0,0.0,0.0,89.62160176340926,100.0
363,Aykırı,100.0,367071498,100.0,aykiricomtr,100.0,7.460827268278727,0.049815268379758394,5.523677858288378,16.56472144156059,78.94736842105263,0.0,0.0,0.0,78.23291697281411,100.0
376,Gazete Yolculuk,100.0,2569721730,100.0,gazeteyolculuk,100.0,0.5511725940352973,0.0,20.149982333652904,3.3228632831873037,76.0233918128655,18.161180476730987,0.0,0.0,59.551800146950775,100.0
389,duvaR,100.0,743405148240773120,100.0,gazeteduvar,100.0,10.294170121109442,0.31549669973846983,42.56654048895606,33.443544387502065,84.7953216374269,17.707150964812712,0.0,0.0,46.12417340191036,100.0
402,Oksijen,0.0,1320042555334184963,100.0,GazeteOksijen,100.0,0.8588856186368307,0.0,2.486717218469423,3.868408001322533,81.87134502923976,0.0,0.0,49.504950495049506,16.899338721528288,100.0
415,Habertürk,100.0,61189897,100.0,Haberturk,100.0,61.211263368431915,0.278135248453651,72.30819355271892,78.14514795834022,78.94736842105263,52.09988649262202,0.0,0.0,92.30345334313004,100.0
428,Cumhuriyet,100.0,190171522,100.0,cumhuriyetgzt,100.0,44.46418531826202,0.04151272364979866,89.51884795604217,71.7969912382212,83.62573099415205,0.0,100.0,0.0,84.75385745775166,100.0
441,NTV,100.0,15016209,100.0,ntv,100.0,100.0,0.11208435385445638,35.19983885649753,100.0,76.60818713450293,64.1316685584563,0.0,0.0,100.0,100.0
454,Hürriyet.com.tr,100.0,65642163,100.0,Hurriyet,100.0,54.661143088636855,0.16189962223421478,67.3605156592079,69.69747065630682,95.90643274853801,0.0,0.0,0.0,92.00955180014695,100.0
467,Türkiye Gazetesi,0.0,28773993,100.0,turkiyegazetesi,100.0,4.176386325664401,0.049815268379758394,36.3152953141803,10.795172755827409,89.47368421052632,34.96027241770715,13.695090439276486,0.0,94.43423952975753,100.0
480,Yeni Şafak,100.0,22626881,100.0,yenisafak,100.0,13.498760763178735,0.16605089459919464,57.76653344443135,30.71582079682592,78.3625730994152,68.33144154370035,0.0,0.0,95.02204261572373,100.0
493,Takvim,0.0,82479205,100.0,takvim,100.0,3.330260616099349,0.10378180912449665,34.77837815228722,10.38188130269466,79.53216374269006,65.26674233825199,0.0,0.0,90.87068332108743,100.0
506,Posta Magazin,0.0,82946124,100.0,PostaMgzn,100.0,1.8790226968773904,0.029058906554859064,35.25960724573394,7.736816002645066,87.13450292397661,0.0,0.0,0.0,90.83394562821455,100.0
519,ANADOLU AJANSI,100.0,461858710,100.0,anadoluajansi,100.0,46.51337375904526,0.14114326040931546,52.15193718925666,64.80409985121508,74.26900584795322,0.0,41.08527131782946,0.0,75.82659808963997,100.0
